PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.437,90.675,-85.327
144.710,90.675,-85.791
165.983,90.675,-88.358
187.256,90.675,-83.789
208.529,90.675,-82.880
229.802,90.675,-81.931
251.075,90.675,-80.916
272.349,90.675,-81.739
293.622,90.675,-87.478
314.895,90.675,-85.850
123.437,102.360,-86.105
144.710,102.360,-87.339
165.983,102.360,-83.792
187.256,102.360,-86.376
208.529,102.360,-88.656
229.802,102.360,-89.453
251.075,102.360,-89.973
272.349,102.360,-82.885
293.622,102.360,-88.593
314.895,102.360,-89.006
123.437,114.044,-88.750
144.710,114.044,-86.749
165.983,114.044,-83.044
187.256,114.044,-82.743
208.529,114.044,-88.874
229.802,114.044,-84.629
251.075,114.044,-87.908
272.349,114.044,-84.370
293.622,114.044,-89.432
314.895,114.044,-85.892
123.437,125.728,-87.272
144.710,125.728,-88.054
165.983,125.728,-84.092
187.256,125.728,-88.114
208.529,125.728,-87.900
229.802,125.728,-83.941
251.075,125.728,-89.864
272.349,125.728,-88.617
293.622,125.728,-89.527
314.895,125.728,-83.036
123.437,137.412,-86.023
144.710,137.412,-89.185
165.983,137.412,-88.747
187.256,137.412,-86.266
208.529,137.412,-86.618
229.802,137.412,-83.953
251.075,137.412,-88.652
272.349,137.412,-87.849
293.622,137.412,-83.982
314.895,137.412,-88.660
